month,Missing_Count,Shift_Count
2025-01,1,48
2025-02,1,58
2025-03,0,102
2025-04,0,50
2025-05,0,62
2025-06,82,90
2025-07,104,51
2025-08,0,56
2025-09,80,99
2025-10,0,75
2025-11,0,110
2025-12,0,0
