title,lines
MeerKAT view of Hickson Compact Groups: II. HI deficiency in the core and surrounding regions,"['L. Verdes-Montenegro\\inst{1},', ""\\institute{\\inst{1} Instituto de Astrof\\'isica de Andaluc\\'ia (CSIC), Glorieta de la Astronom\\'ia s/n, 18008 Granada, Spain\\\\"", '\\inst{2} Department of Space, Earth and Environment, Chalmers University of Technology, Onsala Space Observatory, 43992 Onsala, Sweden\\\\', '\\inst{3} Netherlands Institute for Radio Astronomy (ASTRON), Postbus 2, 7990 AA Dwingeloo, the Netherlands\\\\', '\\inst{4} Steward Observatory, University of Arizona, 933 North Cherry Avenue, Rm. N204, Tucson, AZ 85721-0065, USA\\\\', ""\\inst{5} Laboratoire de Physique et de Chimie de l'Environnement, Universit\\'e Joseph Ki-Zerbo, 03 BP 7021, Ouaga 03, Burkina Faso\\\\"", '\\inst{6} Kavli Institute for Astronomy and Astrophysics, Peking University, Beijing 100871, People’s Republic of China\\\\', '\\inst{7} Department of Astronomy, School of Physics, Peking University, Beijing 100871, People’s Republic of China\\\\', ""\\inst{8} Departament de F\\'isica Qu\\`antica i Astrof\\'isica, Universitat de Barcelona, C. Mart\\'i i Franqu\\`es 1, 08028, Barcelona, Spain\\\\"", ""\\inst{9} Institut de Ci\\`encies del Cosmos (ICCUB), Universitat de Barcelona., C. Mart\\'i i Franqu\\`es 1, 08028, Barcelona, Spain\\\\"", '\\inst{10} Centre for Astrophysics and Supercomputing, Swinburne University of Technology, Hawthorn, VIC 3122, Australia\\\\', '\\inst{11} Department of Physics \\& Astronomy, Macalester College, 1600 Grand Avenue, Saint Paul, MN 55105, USA\\\\', '\\inst{12} Aix Marseille Univ, CNRS, CNES, LAM, Marseille, France\\\\', '\\inst{13} Max-Planck-Intitut f\\""ur Radioastronomie, Auf dem H\\""ugel 69, 53121 Bonn, Germany\\\\', '\\inst{14} Department of Physics and Electronics, Rhodes University, PO Box 94, Makhanda 6140, South Africa\\\\', '\\inst{15} School of Earth and Space Exploration, Arizona State University, 781 Terrace Mall, Tempe, AZ, 85287, USA\\\\', '\\inst{16} Astronomy Department, University of Cape Town, Private Bag X3, Rondebosch 7701, South Africa\\\\', '\\inst{17} Inter-University Institute for Data Intensive Astronomy (IDIA), University of Cape Town, Rondebosch, Cape Town, 7701, South Africa\\\\', ""\\inst{18} Departamento de F\\'isica de la Tierra y Astrof\\'isica, Universidad Complutense de Madrid, E-28040 Madrid, Spain\\\\"", '\\inst{19} Centre for Radio Astronomy Techniques and Technologies (RATT), Department of Physics and Electronics, Rhodes University, Makhanda, 6140, South Africa\\\\', '\\inst{20} South African Radio Astronomy Observatory, Black River Park, 2 Fir Street, Observatory, Cape Town 7925, South Africa\\\\', '\\inst{21} Institute for Radioastronomy, National Institute of Astrophysics (INAF IRA), Via Gobetti 101, 40129 Bologna, Italy\\\\', '\\inst{22} Department of Astronomy, University of Massachusetts, Amherst, MA 01003, USA']"
On the analysis of eruptive events with non-radial evolution,[]
Determining the Milky Way gravitational potential without selection functions,[]
Analytical approaches for rapid prediction of gravitational waveforms for relativistic binary systems,[]
"Computational Insights into the Chemical Reaction Networks of C3H6O3,C3H7O3 and C2H5O2: Implications for the Interstellar Medium",[]
The Stellar Mass and Age Distributions of Star-Forming Clumps at $0.5 < z < 5$ in JWST CANUCS: Implications for Clump Formation and Destruction,[]
New constraints on the evolution of the MHI-M* scaling relation combining CHILES and MIGHTEE-HI data,[]
Photometric Redshift Estimation for Rubin Observatory Data Preview 1 with Redshift Assessment Infrastructure Layers (RAIL),[]
The mass-metallicity relation of bulges,[]
Galaxy Protoclusters as Drivers of Cosmic Reionization: I. Bubble Overlap at Redshift z ~ 7 in LAGER-z7OD1,[]
X-ray polarization of reflected thermal emission,"[""Astronomical Institute of the Czech Academy of Sciences, Bo\\v{c}n\\'{i} II 1401/1, 14100 Praha 4, Czech Republic"", ""\\and Universit\\'{e} de Strasbourg, CNRS, Observatoire Astronomique de Strasbourg, UMR 7550, 67000 Strasbourg, France"", '\\and INAF Istituto di Astrofisica e Planetologia Spaziali, Via del Fosso del Cavaliere 100, 00133 Roma, Italy', '\\and Dipartimento di Fisica e Astronomia, Universit\\`{a} degli Studi di Padova, Via Marzolo 8, 35131 Padova, Italy', '\\and Dipartimento di Matematica e Fisica, Università degli Studi Roma Tre, Via della Vasca Navale 84, 00146 Roma, Italy', '\\and Nicolaus Copernicus Astronomical Center, Polish Academy of Sciences, Bartycka 18, 00-716 Warsaw, Poland']"
Inclusion of sulfur chemistry in a validated C/H/O/N chemical network: identification of key C/S coupling pathways,"[""\\institute{Universit\\'e Paris Cit\\'e and Univ Paris Est Creteil, CNRS, LISA, F-75013 Paris, France\\\\"", 'Université de Lorraine, CNRS, LRGP, F-54000 Nancy, France', 'Department of Physics and Astronomy, University College London, Gower Street, London, WC1E 6BT, UK', 'Astrophysics Group, University of Exeter, EX4 4QL Exeter, UK']"
The Leinster-Cobbold diversity index as a criterion for sub-clustering,[]
The Impact of Spectroscopic Redshift Errors on Cosmological Measurements,[]
Violent mergers revisited: The origin of the fastest stars in the Galaxy,[]
Fe XVIII-XXIV K beta Inner-shell Absorption Lines in the X-ray Spectra of Neutron Star and Black Hole Binaries with XRISM,[]
FRB 20250316A: A Brilliant and Nearby One-Off Fast Radio Burst Localized to 13 parsec Precision,"[""\\affiliation{Department of Physics, McGill University, 3600 rue University, Montr\\'eal, QC H3A 2T8, Canada}"", ""\\affiliation{Trottier Space Institute, McGill University, 3550 rue University, Montr\\'eal, QC H3A 2A7, Canada}"", ""\\affiliation{Department of Physics, McGill University, 3600 rue University, Montr\\'eal, QC H3A 2T8, Canada}"", ""\\affiliation{Trottier Space Institute, McGill University, 3550 rue University, Montr\\'eal, QC H3A 2A7, Canada}"", '\\affiliation{MIT Kavli Institute for Astrophysics and Space Research, Massachusetts Institute of Technology, 77 Massachusetts Ave, Cambridge, MA 02139, USA}', '\\affiliation{Department of Physics, Massachusetts Institute of Technology, 77 Massachusetts Ave, Cambridge, MA 02139, USA}', '\\affiliation{Lane Department of Computer Science and Electrical Engineering, 1220 Evansdale Drive, PO Box 6109, Morgantown, WV 26506, USA}', '\\affiliation{Center for Gravitational Waves and Cosmology, West Virginia University, Chestnut Ridge Research Building, Morgantown, WV 26505, USA}', '\\affiliation{McWilliams Center for Cosmology \\& Astrophysics, Department of Physics, Carnegie Mellon University, Pittsburgh, PA 15213, USA}', '\\affiliation{Lane Department of Computer Science and Electrical Engineering, 1220 Evansdale Drive, PO Box 6109, Morgantown, WV 26506, USA}', '\\affiliation{Center for Gravitational Waves and Cosmology, West Virginia University, Chestnut Ridge Research Building, Morgantown, WV 26505, USA}', '\\affiliation{National Centre for Radio Astrophysics, Post Bag 3, Ganeshkhind, Pune, 411007, India}', '\\affiliation{Department of Astronomy and Astrophysics, Tata Institute of Fundamental Research, Mumbai, 400005, India}', '\\affiliation{National Research Council of Canada, Herzberg Astronomy and Astrophysics, 5071 West Saanich Road, Victoria, BC V9E 2E7, Canada}', '\\affiliation{Department of Physics and Astronomy, Northwestern University, Evanston, IL 60208, USA}', '\\affiliation{Center for Interdisciplinary Exploration and Research in Astronomy, Northwestern University, 1800 Sherman Avenue, Evanston, IL 60201, USA}', '\\affiliation{Department of Electrical Engineering, Universidad de Chile, Av. Tupper 2007, Santiago 8370451, Chile}', '\\affiliation{Cornell Center for Astrophysics and Planetary Science, Cornell University, Ithaca, NY 14853, USA}', ""\\affiliation{Department of Physics, McGill University, 3600 rue University, Montr\\'eal, QC H3A 2T8, Canada}"", ""\\affiliation{Trottier Space Institute, McGill University, 3550 rue University, Montr\\'eal, QC H3A 2A7, Canada}"", ""\\affiliation{Department of Physics, McGill University, 3600 rue University, Montr\\'eal, QC H3A 2T8, Canada}"", ""\\affiliation{Trottier Space Institute, McGill University, 3550 rue University, Montr\\'eal, QC H3A 2A7, Canada}"", '\\affiliation{Anton Pannekoek Institute for Astronomy, University of Amsterdam, Science Park 904, 1098 XH Amsterdam, The Netherlands}', '\\affiliation{Anton Pannekoek Institute for Astronomy, University of Amsterdam, Science Park 904, 1098 XH Amsterdam, The Netherlands}']"
"WASP-12, shrouded in mystery or just cold gas?",[]
