s2_id,S2_Title,S2_Citations,S2_NonSelfCitations
ARXIV:2501.12621,"DarkAI: Reconstructing the Density, Velocity, and Tidal Fields of Dark Matter from a DESI-like Bright Galaxy Sample",2,2
ARXIV:2501.12436,Ripples spreading across the Galactic disc. Interplay of direct and indirect effects of the Sagittarius dwarf impact,2,2
ARXIV:2501.12444,The AGN Optical Variability Fundamental Plane,0,0
ARXIV:2501.12613,Study of the IC 443 Region with the HAWC Observatory,1,1
ARXIV:2501.12567,Exploring quasar evolution with proximate molecular absorbers: Insights from the kinematics of highly ionized nitrogen,0,0
ARXIV:2501.12562,Enhancing Fault Diagnosis in GWAC: A Monitoring System for Telescope Arrays,0,0
ARXIV:2501.12556,Two Repeated Quasi-periodic Oscillations in the FSRQ S5 1044+71 Observed by TESS,0,0
ARXIV:2501.12525,Detection of unresolved strongly lensed supernovae with the 7-Dimensional Telescope,0,0
ARXIV:2501.12520,New TeV-emitting BL Lac Candidates from the eROSITA X-Ray Survey,0,0
ARXIV:2501.12507,X-ray emission from helium star-black hole binaries as probes of tidally induced spin-up of second-born black holes,3,3
ARXIV:2501.12499,Multiband embeddings of light curves,3,3
ARXIV:2501.12494,Constraining Proper Motion of Strongly Lensed Eccentric Binary Mergers using Doppler Triangulation,3,3
ARXIV:2501.12484,Near-infrared Integral-field Spectroscopy of the Wind Forming Region of CW Leo,0,0
ARXIV:2501.12478,Kinematics of high-velocity stars utilizing LAMOST and Gaia DR3 archives within 100 kpc,0,0
ARXIV:2501.12466,Specification for the Siril HEALpixel Catalog Format,0,0
ARXIV:2501.12463,Revisiting the fundamental parameters for the black hole X-ray transient Swift J1753.5-0127,1,1
ARXIV:2501.12460,Search Capability for Near-Earth Objects with the Wide Field Survey Telescope,3,3
ARXIV:2501.12458,First photometric investigation of V517 Cam combined with ground-based and TESS data,0,0
ARXIV:2501.12449,Intervening nuclear obscuration changing the X-ray look of the z≈6 quasi-stellar object CFHQS J164121+375520,0,0
ARXIV:2501.12448,"Survey of Radiative, Two-Temperature Magnetically Arrested Simulations of the Black Hole M87* I: Turbulent Electron Heating",8,8
ARXIV:2501.12439,Introducing the AIDA-TNG project: Galaxy formation in alternative dark matter models,7,7
ARXIV:2501.12026,Synthetic Modelling of Polarized Dust Emission in Intermediate-Mass YSOs: II: Effects of Radiative Torque Disruption on Dust Grains in Protostellar Jets/Outflows,0,0
ARXIV:2501.13147,Two decades of optical variability of Small Magellanic Cloud high-mass X-ray binaries,1,1
ARXIV:2501.13149,Galaxy infall models for arbitrary velocity directions,0,0
ARXIV:2501.14022,The rate of extreme coronal line emitters in the Baryon Oscillation Spectroscopic Survey LOWZ sample,2,2
ARXIV:2501.14019,The Three Hundred project hydrodynamical simulations: Hydrodynamical weak-lensing cluster mass biases and richnesses using different hydro models.,0,0
ARXIV:2501.14016,Highly reflective white clouds on the western dayside of an exo-Neptune,15,15
ARXIV:2501.13937,A theoretical framework for BL Her stars IV. New period-luminosity relations in the Rubin-LSST filters,0,0
ARXIV:2501.13931,HP2 Survey. V. Ophiuchus: Filament formation in a dispersing cloud complex,0,0
ARXIV:2501.13929,Testing Tidal Theory Using Gaia Binaries: The Red Giant Branch,2,2
ARXIV:2501.13917,HD 206893 B at High Spectral Resolution with the Keck Planet Imager and Characterizer,4,4
ARXIV:2501.13913,The Cosmic Microwave Background -- Secondary Anisotropies,0,0
ARXIV:2501.13899,The Pitfalls of Using Lyman Alpha Damping Wings in High-z Galaxy Spectra to Measure the Intergalactic Neutral Hydrogen Fraction,0,0
ARXIV:2501.13877,Dust characterization of protoplanetary disks: A guide to multi-wavelength analyses and accurate dust mass measurements,1,1
